Country Code,Date,City,Latitude,Longitude,Max Temp,Humidity,Cloud Cover,Wind Speed
BR,1554361796,Ibotirama,-12.18,-43.22,70.68,36,36,2.91
BR,1554361500,Astolfo Dutra,-21.31,-42.86,72.0,24,24,2.8
GL,1554361796,Paamiut,61.99,-49.67,29.37,56,56,18.57
IN,1554361797,Washim,20.1,77.14,95.61,20,20,10.96
RU,1554361797,Ostrovnoy,68.05,39.51,30.81,64,64,17.56
AU,1554361517,Kingaroy,-26.54,151.84,75.2,40,40,10.29
IE,1554361643,Dunmore East,52.15,-6.99,39.0,48,48,7.0
CN,1554361794,Mentougou,39.94,116.09,84.99,0,0,17.9
RU,1554361798,Polunochnoye,60.87,60.43,43.86,0,0,4.14
PE,1554361798,Huarmey,-10.07,-78.15,64.83,64,64,2.68
MV,1554361799,Hithadhoo,-0.6,73.08,83.01,8,8,3.69
CN,1554361508,Zhengjiatun,43.51,123.51,54.93,20,20,27.4
RU,1554361799,Beringovskiy,63.05,179.32,29.46,92,92,18.01
SO,1554361800,Hobyo,5.35,48.53,82.56,44,44,10.29
CA,1554361282,Bonavista,48.65,-53.11,39.0,92,92,8.01
KE,1554361800,Maua,0.23,37.94,67.62,80,80,2.91
NO,1554358800,Sorland,67.67,12.69,35.6,40,40,25.28
CN,1554361801,Erenhot,43.65,111.97,53.85,0,0,16.11
ET,1554361801,Asosa,10.07,34.53,80.31,0,0,3.13
MX,1554361344,Isla Mujeres,21.23,-86.73,78.8,40,40,8.05
US,1554361792,Hackettstown,40.85,-74.83,46.4,1,1,6.93
GB,1554361801,Penzance,50.12,-5.53,43.0,40,40,9.17
CA,1554361802,Husavik,50.56,-96.99,26.01,12,12,5.99
CA,1554357600,Mayo,63.59,-135.9,12.2,5,5,11.41
US,1554361301,Hailey,43.52,-114.32,35.6,1,1,6.93
KZ,1554361804,Zharkent,44.17,80.0,47.28,80,80,2.68
CI,1554359400,Jackville,5.21,-4.42,82.4,20,20,3.36
CA,1554361717,Torbay,47.66,-52.73,43.0,90,90,28.86
HN,1554361805,Iralaya,15.0,-83.23,79.14,76,76,6.6
EC,1554361270,San Cristobal,-0.39,-78.55,57.2,90,90,3.36
IR,1554361806,Sabzevar,36.21,57.68,63.48,92,92,2.8
KE,1554361254,Othaya,-0.55,36.95,66.99,92,92,1.99
FR,1554361763,Saint-Augustin,44.83,-0.61,41.0,76,76,4.7
PT,1554361200,Ribeira Grande,38.52,-28.7,57.2,40,40,10.29
US,1554361715,Alamosa,37.47,-105.87,32.0,1,1,9.17
CA,1554358980,Havre-Saint-Pierre,50.23,-63.6,28.4,75,75,17.22
JP,1554361450,Katsuura,33.93,134.5,63.0,20,20,13.87
GE,1554359400,Khani,41.96,42.96,46.4,90,90,2.24
RU,1554361809,Provideniya,64.42,-173.23,24.96,0,0,17.67
GL,1554357000,Narsaq,60.91,-46.05,23.0,0,0,10.29
FR,1554361806,Paris,48.86,2.35,39.2,0,0,3.36
IS,1554361810,Hofn,64.25,-15.21,36.48,88,88,9.73
AU,1554361698,Cairns,-16.92,145.77,78.8,90,90,13.87
RU,1554361811,Lavrentiya,65.58,-170.99,21.09,0,0,17.22
MU,1554361743,Grand Gaube,-20.01,57.66,86.0,40,40,6.93
CA,1554357600,Smithers,54.78,-127.17,46.4,90,90,2.24
CN,1554361812,Wuwei,37.93,102.64,55.83,64,64,7.05
CA,1554357600,High Level,58.52,-117.13,14.0,75,75,10.29
US,1554361565,Ahuimanu,21.44,-157.84,75.2,75,75,8.05
GW,1554361813,Bubaque,11.28,-15.83,78.06,56,56,17.0
US,1554361572,Lompoc,34.64,-120.46,55.99,40,40,2.68
ID,1554361200,Manado,1.49,124.85,91.4,40,40,8.05
CA,1554361814,Haines Junction,60.75,-137.51,18.48,92,92,2.35
GF,1554359400,Cayenne,4.94,-52.33,77.0,75,75,4.7
NZ,1554361814,Ahipara,-35.17,173.16,67.44,88,88,4.92
PH,1554361815,Sulangan,11.14,123.72,82.83,0,0,7.16
PT,1554361200,Camacha,33.08,-16.33,57.2,75,75,13.87
AF,1554361766,Herat,34.35,62.22,59.34,68,68,4.03
ID,1554361816,Bambanglipuro,-7.95,110.28,79.41,32,32,4.25
US,1554361505,Stillwater,36.12,-97.06,55.4,90,90,4.7
IN,1554361816,Bahadurganj,26.26,87.82,92.19,8,8,7.16
RU,1554361817,Khilok,51.36,110.46,30.99,80,80,10.74
NG,1554361817,Ukwa,5.47,8.01,79.14,56,56,6.38
PW,1554360600,Kloulklubed,7.04,134.26,82.4,75,75,14.99
MX,1554361818,Ixhuatan,16.36,-94.48,75.36,0,0,3.13
PT,1554361263,Praia da Vitoria,38.73,-27.07,55.4,75,75,22.7
PG,1554361819,Aitape,-3.15,142.36,83.19,32,32,6.04
MU,1554361743,Mahebourg,-20.41,57.7,86.0,40,40,6.93
NA,1554361752,Luderitz,-26.65,15.16,54.93,64,64,12.97
UA,1554361820,Vesele,47.02,34.92,42.51,0,0,4.59
CR,1554361820,Nicoya,10.15,-85.45,81.12,56,56,12.97
ES,1554361505,Los Llanos de Aridane,28.66,-17.92,60.8,20,20,12.75
US,1554361813,Orange Cove,36.62,-119.31,62.6,1,1,2.57
MX,1554361821,Laguna,27.52,-110.01,58.35,12,12,2.13
RU,1554361822,Tazovskiy,67.47,78.7,23.34,80,80,8.72
LK,1554361822,Kalmunai,7.42,81.82,89.76,0,0,5.59
AT,1554361779,Wanning,48.64,13.53,55.4,40,40,12.75
NO,1554359280,Berlevag,70.86,29.09,30.2,90,90,12.75
CI,1554361823,Bouna,9.27,-3.0,77.07,12,12,9.73
CL,1554361823,Tocopilla,-22.09,-70.2,60.6,0,0,1.68
US,1554361696,Eureka,40.8,-124.16,54.0,90,90,3.36
AR,1554361815,Rafaela,-31.25,-61.49,70.0,64,64,1.01
ES,1554361675,Muros,42.77,-9.06,45.0,40,40,3.36
RU,1554361825,Chernyshevskiy,63.01,112.47,36.57,44,44,3.36
TM,1554361825,Gazojak,41.19,61.4,60.51,0,0,12.75
CO,1554361807,Cienaga de Oro,8.87,-75.62,76.89,0,0,6.71
US,1554361633,Safford,32.83,-109.71,55.4,1,1,6.93
JP,1554361811,Shimoda,34.7,138.93,64.0,20,20,10.29
MZ,1554357600,Nacala,-14.56,40.69,78.8,20,20,11.41
US,1554361810,Vardo,39.62,-77.74,46.4,1,1,3.91
IT,1554361566,Sciacca,37.51,13.08,57.2,40,40,24.16
BR,1554361827,Canarana,-11.69,-41.77,66.72,48,48,2.91
NZ,1554361805,Tuatapere,-46.13,167.69,50.0,92,92,4.0
MV,1554361562,Dhidhdhoo,6.88,73.1,83.37,0,0,4.92
GT,1554356460,Ocos,14.51,-92.19,77.0,75,75,5.82
PH,1554361828,Abuyog,10.75,125.01,85.08,0,0,6.93
US,1554361687,Hilton Head Island,32.16,-80.75,52.0,1,1,3.36
CN,1554361829,Jiayuguan,39.77,98.29,52.23,0,0,4.7
GL,1554361829,Maniitsoq,65.42,-52.9,26.22,88,88,25.28
CA,1554361518,Hamilton,43.26,-79.87,35.01,20,20,4.7
CO,1554361830,Timbiqui,2.77,-77.67,73.65,100,100,3.69
PT,1554361743,Tramagal,39.45,-8.25,45.0,40,40,2.24
KZ,1554359400,Aksu,52.04,76.93,59.0,0,0,8.95
RU,1554361832,Teguldet,57.31,88.17,38.64,12,12,3.36
AR,1554357600,Comodoro Rivadavia,-45.87,-67.48,48.2,0,0,8.05
AU,1554361637,Codrington,-28.95,153.24,77.0,48,48,14.99
ET,1554361833,Shambu,9.57,37.1,58.89,44,44,3.69
AU,1554361744,Flinders,-34.58,150.85,70.0,0,0,6.93
CN,1554361833,Hami,42.84,93.51,75.63,0,0,4.47
NO,1554361273,Bud,62.91,6.91,41.0,0,0,14.99
RU,1554361834,Nyurba,63.29,118.35,41.25,64,64,3.69
IN,1554361834,Lunglei,22.89,92.75,84.27,0,0,2.24
BO,1554361835,Puerto Quijarro,-19.0,-57.72,74.1,44,44,3.47
JP,1554361348,Kaseda,31.42,130.32,62.6,75,75,14.99
CL,1554357600,San Ignacio,-36.8,-72.03,51.8,68,68,2.57
US,1554361722,Pacific Grove,36.62,-121.92,57.2,90,90,2.91
MX,1554361515,Cabo San Lucas,22.89,-109.91,66.99,5,5,4.7
RU,1554361836,Severomuysk,56.17,113.57,19.83,76,76,3.36
US,1554359700,Glendive,47.11,-104.71,42.8,90,90,26.4
RU,1554361837,Sudzha,51.19,35.27,36.3,8,8,6.38
ES,1554361816,Miranda de Ebro,42.69,-2.95,42.01,75,75,4.7
PT,1554361417,Belmonte,40.36,-7.35,37.0,0,0,3.69
RU,1554361837,Vostok,46.45,135.83,42.51,44,44,1.12
GB,1554361835,Liverpool,53.41,-2.98,37.99,0,0,14.99
PE,1554357600,Iquitos,-3.75,-73.25,78.8,75,75,3.36
CA,1554357600,Norman Wells,65.28,-126.83,-5.81,20,20,3.36
CM,1554361839,Garoua Boulai,5.88,14.55,70.23,0,0,2.91
PT,1554361778,Lagoa,37.14,-8.45,48.2,0,0,14.99
LK,1554361839,Wattegama,7.35,80.68,86.34,20,20,3.8
CA,1554361244,Saint-Georges,46.12,-70.67,28.99,36,36,10.0
IT,1554360600,Carbonia,39.17,8.53,60.8,20,20,11.41
ES,1554359400,Puerto del Rosario,28.5,-13.86,62.6,20,20,12.75
ID,1554361841,Rantauprapat,2.1,99.83,82.92,36,36,2.46
NZ,1554361717,Pareora,-44.49,171.21,55.99,44,44,5.99
BR,1554357600,Cabedelo,-6.97,-34.84,77.0,40,40,1.12
RU,1554361842,Urusha,54.05,122.9,39.0,68,68,4.92
CA,1554357600,La Ronge,55.1,-105.3,21.2,90,90,5.82
JP,1554357600,Ishigaki,24.34,124.16,75.2,75,75,17.22
BW,1554361843,Nokaneng,-19.66,22.19,72.39,12,12,13.98
PG,1554361843,Ialibu,-6.28,143.99,63.03,68,68,1.9
ID,1554361843,Bima,-8.45,118.73,81.66,80,80,1.57
TR,1554361843,Ayan,40.67,33.6,37.29,76,76,2.57
RU,1554361844,Vyartsilya,62.18,30.69,32.61,32,32,12.75
US,1554361745,Saint Cloud,45.56,-94.16,33.01,1,1,9.06
LY,1554361844,Waddan,29.16,16.14,50.52,88,88,4.14
US,1554361611,College,64.86,-147.8,21.2,1,1,8.05
IN,1554361845,Lata,30.78,78.62,61.41,0,0,0.56
PL,1554361826,Warka,51.79,21.18,50.0,0,0,16.11
MX,1554361846,Coahuayana,18.62,-100.35,65.91,24,24,1.68
BR,1554361200,Maceio,-9.67,-35.74,73.4,40,40,3.36
CA,1554361762,Thunder Bay,48.41,-89.26,19.99,5,5,4.14
BR,1554361718,Rio Grande,-32.03,-52.1,71.94,56,56,9.95
RU,1554361847,Yar-Sale,66.83,70.83,29.37,88,88,3.02
SE,1554361262,Ljungby,56.83,13.94,44.6,0,0,5.82
LK,1554358200,Hambantota,6.12,81.12,91.4,75,75,4.7
NZ,1554361685,Ngunguru,-35.62,174.5,63.0,0,0,11.07
CA,1554357600,Clyde River,70.47,-68.59,6.8,90,90,19.46
CD,1554361848,Lodja,-3.52,23.6,80.04,0,0,4.14
NO,1554357000,Longyearbyen,78.22,15.63,12.2,40,40,4.7
US,1554361625,Ruidoso,33.33,-105.67,59.0,1,1,12.75
CA,1554361326,Botwood,49.14,-55.34,39.99,90,90,31.09
US,1554361805,Cadillac,44.25,-85.4,26.6,1,1,4.36
RU,1554360342,Oktyabrskiy,55.61,37.97,42.8,0,0,4.47
IT,1554361849,Saluzzo,44.64,7.49,48.0,40,40,4.7
US,1554361774,Kahului,20.89,-156.47,75.2,40,40,17.22
FI,1554361730,Hanko,59.83,22.95,39.0,44,44,1.01
AU,1554359400,Nhulunbuy,-12.18,136.78,86.0,40,40,10.29
CI,1554359400,Anyama,5.5,-4.06,82.4,20,20,3.36
IN,1554359400,Yarada,17.65,83.27,93.2,20,20,11.41
RU,1554361852,Aksarka,66.56,67.8,28.56,56,56,9.84
RU,1554357600,Petropavlovsk-Kamchatskiy,53.05,158.65,39.2,40,40,6.71
RU,1554361852,Rogovatoye,51.23,38.38,34.41,88,88,9.84
AU,1554361833,Palmer,-34.85,139.16,88.0,0,0,10.29
CN,1554361853,Qujing,25.49,103.8,66.63,0,0,14.32
BR,1554361854,Terra Santa,-2.1,-56.49,79.05,80,80,3.69
AU,1554361293,Tamworth,-31.09,150.93,77.0,88,88,14.99
RU,1554361854,Leningradskiy,69.38,178.42,10.2,0,0,17.0
GH,1554361854,Mumford,5.26,-0.76,78.87,8,8,6.93
US,1554361842,Bourbonnais,41.16,-87.88,46.99,90,90,5.82
US,1554361817,Harper,30.3,-99.24,66.0,90,90,9.17
TT,1554361507,Arima,10.64,-61.28,77.0,20,20,5.82
CN,1554361856,Yinchuan,38.48,106.21,69.69,0,0,7.94
EC,1554361856,La Asuncion,-1.64,-78.74,47.37,92,92,2.35
BR,1554361749,Manoel Urbano,-8.84,-69.26,75.99,88,88,2.13
PE,1554361857,Sechura,-5.56,-80.82,71.49,76,76,7.72
SA,1554361857,Umm Lajj,25.02,37.27,78.51,8,8,13.42
JP,1554357600,Wajima,37.4,136.9,51.8,75,75,23.04
ID,1554361858,Payo,-3.75,103.64,76.26,92,92,3.58
CA,1554361206,Port-Cartier,50.03,-66.88,28.0,90,90,10.29
CN,1554361859,Tahe,52.34,124.71,37.02,76,76,4.59
CA,1554361859,Viking,53.1,-111.78,29.28,32,32,7.72
RU,1554361350,Anadyr,64.73,177.51,23.0,0,0,4.47
RU,1554361860,Belaya Gora,68.54,146.19,20.28,0,0,4.03
RU,1554361860,Sobolevo,54.43,31.9,38.19,12,12,5.14
AU,1554357600,Yulara,-25.24,130.99,91.4,0,0,13.87
AU,1554361537,Launceston,-41.43,147.14,64.99,40,40,4.7
GB,1554361762,Atherton,53.52,-2.49,37.99,20,20,6.93
IQ,1554361861,Hit,33.64,42.83,60.96,76,76,4.7
BR,1554357600,Pitimbu,-7.47,-34.81,77.0,40,40,1.12
